id,total_occupancy,total_bedrooms,total_bathrooms,home_type,summary,address,has_tv,has_kitchen,has_air_con,has_heating,has_internet,price,owner_id,latitude,longitude,available_from,available_until
14,3,1,4,hotel,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",25 Jana Crossing,false,false,false,true,true,204.64,6,-20.8420055,-40.7357215,09/15/2022,11/14/2022
15,1,5,2,shared,Sed ante. Vivamus tortor. Duis mattis egestas metus.,73 Springs Terrace,false,true,false,true,true,175.07,5,50.2553167,15.7601242,09/03/2022,10/04/2022
16,3,3,5,mansion,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2930 Morrow Road,true,true,true,true,false,72.39,8,27.0444171,31.3189319,09/06/2022,11/05/2022
17,5,4,2,cabin,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,03612 Crownhardt Point,false,true,false,false,true,182.81,6,47.31878,130.274684,09/14/2022,10/19/2022
18,1,4,3,mansion,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",72490 Alpine Street,true,true,false,true,true,70.11,5,43.3209022,21.8957589,09/21/2022,12/01/2022
19,1,2,1,rv,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,42 Vidon Crossing,false,false,false,true,true,716.46,5,14.5570389,121.017148,09/06/2022,10/31/2022
20,3,1,3,rv,Phasellus sit amet erat. Nulla tempus.,0482 Old Gate Road,true,true,true,true,true,400.1,9,-7.221299,111.5304344,09/13/2022,10/18/2022
21,3,5,4,rv,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",5252 Linden Center,true,false,false,false,false,506.14,2,41.376241,19.7881955,09/18/2022,11/17/2022
22,2,4,1,shared,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,24461 Quincy Circle,false,false,true,false,false,610.84,10,49.7370109,17.427878,09/14/2022,10/11/2022
23,5,3,3,mansion,In hac habitasse platea dictumst.,746 Birchwood Street,true,true,false,false,false,414.86,6,-7.8121361,113.2424227,09/13/2022,10/13/2022
24,5,3,3,cabin,Pellentesque eget nunc.,922 Gerald Lane,false,true,true,true,true,208.79,4,-6.427987,110.9561,09/07/2022,10/04/2022
25,4,2,2,shared,Phasellus in felis.,406 Di Loreto Hill,false,true,true,false,false,160.83,3,16.4826614,-85.8793252,09/03/2022,11/05/2022
26,1,2,3,hotel,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",7749 Mariners Cove Circle,false,true,false,true,true,471.26,10,15.026492,-88.8383036,09/20/2022,12/02/2022
27,5,5,3,hotel,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",3283 Haas Crossing,false,true,false,true,true,550.41,10,39.937881,116.4080926,09/15/2022,11/25/2022
28,3,5,3,cabin,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,989 Stang Hill,true,true,false,true,false,769.42,5,31.247275,121.456178,09/08/2022,10/23/2022
29,3,1,1,mansion,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,19 Elka Alley,false,false,true,true,false,852.08,7,34.79951,62.13917,09/18/2022,11/08/2022
30,3,2,2,shared,Aenean auctor gravida sem.,6 Village Lane,false,false,false,true,true,905.72,3,62.1588835,22.2669813,09/06/2022,10/26/2022
31,3,2,1,cabin,Suspendisse potenti. In eleifend quam a odio.,85 Karstens Hill,false,true,false,true,false,596.54,2,27.218444,116.525725,09/16/2022,11/16/2022
32,4,4,4,condo,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",97 Shasta Place,false,false,true,false,false,743.19,2,-6.664163,111.5811123,09/14/2022,12/05/2022
33,1,5,2,shared,Suspendisse potenti.,5 Hanson Road,false,false,true,true,true,652.19,3,29.4743666,-98.5165167,09/12/2022,12/12/2022
34,5,4,4,shared,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,48026 Jenifer Way,true,true,true,false,false,454.38,6,37.8741378,68.9241529,09/07/2022,11/12/2022
35,2,3,2,shared,In eleifend quam a odio. In hac habitasse platea dictumst.,7 Farmco Point,true,false,false,false,true,434.85,6,6.9955119,79.882999,09/20/2022,11/18/2022
36,5,1,2,rv,Suspendisse potenti. In eleifend quam a odio.,68517 Arapahoe Place,false,true,false,true,true,652.36,5,4.860823,-74.912667,09/03/2022,10/01/2022
37,3,3,4,cabin,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",410 Talisman Road,true,false,true,false,false,887.47,9,-8.2190944,114.3691416,09/05/2022,10/19/2022
38,2,3,4,shared,Morbi ut odio.,6289 Tony Plaza,true,false,false,false,false,676.65,6,31.3694559,-5.7905653,09/15/2022,12/07/2022
39,1,5,3,rv,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",845 Northridge Junction,true,false,false,false,true,226.88,3,-6.81482,106.40417,09/20/2022,11/19/2022
40,5,3,1,shared,Nullam molestie nibh in lectus. Pellentesque at nulla.,454 Mccormick Alley,true,true,false,true,true,467.64,3,8.1601168,-71.1448516,09/22/2022,10/15/2022
41,5,1,1,hotel,Donec dapibus.,3 Arkansas Lane,false,false,true,false,true,127.02,6,-8.4702242,123.031062,09/15/2022,11/08/2022
42,3,5,1,shared,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1339 Petterle Court,true,true,true,true,false,129.54,9,-7.7194317,109.0007407,09/18/2022,12/09/2022
43,3,1,4,shared,Nulla suscipit ligula in lacus.,5 Esker Street,true,true,true,true,false,621.84,10,24.347782,116.695195,09/03/2022,12/24/2022
44,2,4,4,hotel,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",741 Leroy Park,true,false,false,true,false,351.28,1,31.975951,35.853029,09/18/2022,10/28/2022
45,2,3,1,rv,Morbi a ipsum.,72057 Eagan Point,true,true,true,true,true,200.55,3,51.8478427,42.4697909,09/16/2022,12/22/2022
46,2,3,3,apartment,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",62110 Hanover Plaza,false,true,true,false,true,904.23,6,47.7765978,27.9381723,09/03/2022,12/11/2022
47,4,2,2,apartment,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",4841 Stuart Street,true,true,false,true,true,656.22,7,31.739255,130.670516,09/01/2022,12/25/2022
48,4,5,5,rv,Phasellus in felis. Donec semper sapien a libero. Nam dui.,68 Summit Park,false,false,false,false,true,123.69,5,41.88,-87.62,09/21/2022,10/29/2022
49,3,3,4,apartment,Proin eu mi.,1408 Russell Alley,false,false,true,false,true,580.46,4,30.983057,117.099325,09/02/2022,10/24/2022
50,3,2,1,shared,In quis justo.,6192 Granby Street,false,false,true,true,false,436.42,7,9.4811641,-66.9719947,09/06/2022,12/11/2022
51,4,5,3,rv,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,33720 Fisk Center,false,true,true,false,true,39.79,10,28.438851,120.564983,09/13/2022,12/03/2022
52,4,5,3,hotel,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1132 Mcbride Plaza,true,false,false,true,false,96.4,2,9.82511,169.31065,09/05/2022,12/30/2022
53,5,4,1,mansion,In quis justo. Maecenas rhoncus aliquam lacus.,22022 Merchant Lane,false,false,false,true,false,801.63,4,43.4945737,5.8978018,09/02/2022,10/31/2022
54,4,5,5,hotel,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0 Brickson Park Street,true,true,false,false,true,452.73,4,6.223561,-77.404109,09/09/2022,12/04/2022
55,2,3,5,shared,Morbi non lectus.,527 Gulseth Pass,false,true,true,false,false,396.33,8,-32.9979844,-60.6298078,09/16/2022,11/10/2022
56,1,4,1,mansion,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",24471 Express Junction,false,false,true,true,true,141.64,9,27.951331,92.009188,09/15/2022,10/07/2022
57,4,5,2,condo,Nulla tempus.,1742 Victoria Pass,true,false,true,true,true,27.51,4,57.6938555,11.9704401,09/11/2022,12/05/2022
58,2,3,4,mansion,Nulla tempus.,398 Eagan Plaza,false,true,false,true,true,797.85,5,10.0835154,-83.342893,09/13/2022,12/24/2022
59,4,4,2,rv,Aenean sit amet justo.,04130 Carpenter Road,true,false,true,false,true,342.72,9,-7.2452522,-79.4760133,09/17/2022,10/17/2022
60,3,4,2,mansion,Morbi ut odio.,20 2nd Park,true,false,false,true,true,248.67,1,42.59689,47.71824,09/17/2022,11/15/2022
61,4,4,2,hotel,Nullam sit amet turpis elementum ligula vehicula consequat.,7403 Arizona Way,false,false,true,true,false,936.19,8,46.2279096,-63.1016755,09/04/2022,10/18/2022
62,5,1,2,rv,Duis aliquam convallis nunc.,189 Main Hill,true,true,true,true,false,785.45,6,44.639079,85.784329,09/10/2022,12/15/2022
63,5,2,3,hotel,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",16378 Harbort Park,false,false,true,true,true,44.14,5,10.3765284,106.3438891,09/09/2022,11/15/2022
64,2,2,1,rv,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4 Riverside Pass,false,false,true,true,true,697.13,10,60.4609132,25.0250415,09/10/2022,10/03/2022
65,3,5,2,hotel,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,5 Golf Crossing,false,false,false,false,true,797.72,6,-8.7820436,120.4155972,09/12/2022,11/07/2022
66,5,5,4,mansion,Aenean sit amet justo. Morbi ut odio.,16032 Pine View Court,false,true,false,false,false,771.73,10,-22.504198,-48.71221,09/10/2022,10/04/2022
67,2,3,2,shared,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",3173 Colorado Terrace,false,false,false,false,true,594.39,6,60.663088,17.1532607,09/12/2022,12/28/2022
68,4,1,5,apartment,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5565 Ohio Alley,true,true,true,true,true,283.29,10,24.884626,104.308675,09/14/2022,12/07/2022
69,3,3,1,mansion,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,9 Bunker Hill Plaza,true,true,true,false,false,558.92,9,33.378118,120.431234,09/06/2022,11/12/2022
70,1,1,1,condo,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,9 Acker Way,false,false,true,false,true,811.51,8,48.43349,-77.63279,09/08/2022,11/02/2022
71,5,3,3,apartment,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",70 Manufacturers Drive,true,true,true,false,true,990.8,10,13.2997024,7.79873,09/10/2022,11/08/2022
72,4,3,4,mansion,In congue. Etiam justo. Etiam pretium iaculis justo.,4546 Armistice Street,true,false,true,true,false,936.62,7,-17.8832695,-62.941187,09/19/2022,11/05/2022
73,1,1,4,hotel,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",28 Bartillon Trail,true,false,false,true,true,81.22,3,-6.8897071,-38.5612185,09/01/2022,11/20/2022
74,3,5,4,mansion,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,58 Red Cloud Hill,false,true,true,false,true,38.21,10,53.5234017,27.8299056,09/18/2022,12/29/2022
75,3,1,4,shared,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",8 Arrowood Alley,false,false,true,true,true,456.24,2,44.584109,14.8573931,09/09/2022,12/22/2022
76,4,3,3,cabin,Aliquam quis turpis eget elit sodales scelerisque.,71 Stoughton Plaza,true,false,true,true,false,660.17,3,15.9535593,121.1098151,09/17/2022,10/16/2022
77,5,1,4,cabin,Nulla ut erat id mauris vulputate elementum. Nullam varius.,9 Sundown Drive,false,false,false,false,false,535.05,6,-33.95115,-62.97238,09/01/2022,12/11/2022
78,1,4,2,apartment,Aliquam non mauris. Morbi non lectus.,72581 Eastlawn Way,false,true,true,false,false,589.93,5,48.9237307,14.4538327,09/21/2022,11/17/2022
79,2,4,1,shared,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1966 Park Meadow Crossing,true,false,true,true,true,935.42,9,37.0594675,-120.8204617,09/10/2022,12/20/2022
80,1,5,5,hotel,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",48887 Dennis Way,true,true,false,true,true,314.81,2,48.8162706,28.9461989,09/07/2022,10/12/2022
81,4,1,2,mansion,Sed ante.,893 Homewood Alley,false,false,true,false,true,214.72,6,36.1069958,-79.8522564,09/12/2022,12/16/2022
82,1,4,1,cabin,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",979 Mandrake Plaza,true,true,false,false,false,884.07,6,49.6197452,18.4728742,09/06/2022,12/26/2022
83,5,3,2,cabin,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",593 Fisk Drive,true,false,false,false,false,528.18,9,15.5216056,103.2201828,09/14/2022,12/26/2022
84,5,1,4,hotel,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,4 Luster Road,true,true,true,false,false,154.8,2,49.5904912,19.710237,09/12/2022,12/21/2022
85,5,1,5,apartment,Suspendisse accumsan tortor quis turpis. Sed ante.,0 Kinsman Point,false,false,false,true,false,901.95,1,46.975033,31.9945829,09/15/2022,12/01/2022
86,1,1,5,shared,Aenean fermentum.,8 Dryden Parkway,false,true,false,true,true,424.21,9,-6.921773,107.61049,09/15/2022,12/09/2022
87,5,5,3,hotel,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",4 Helena Alley,false,true,true,true,false,301.94,2,-8.7035662,116.2245553,09/10/2022,12/21/2022
88,3,3,2,hotel,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",28057 Nevada Lane,true,false,false,false,true,655.58,1,41.0635479,23.958972,09/05/2022,10/22/2022
89,1,4,2,apartment,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,7334 Northfield Way,false,false,false,false,false,586.9,2,49.2513639,22.6952648,09/10/2022,10/10/2022
90,1,2,4,cabin,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",91305 8th Alley,false,false,true,false,false,162.76,3,32.493989,80.101607,09/10/2022,11/08/2022
91,5,4,1,mansion,Integer a nibh. In quis justo.,07368 Farmco Hill,true,false,false,false,true,898.33,10,50.63258,87.96046,09/02/2022,12/10/2022
92,3,5,4,mansion,Proin at turpis a pede posuere nonummy. Integer non velit.,429 Grover Way,false,false,true,true,false,767.99,7,29.042269,121.626963,09/11/2022,12/22/2022
93,2,1,5,shared,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",308 Butternut Circle,true,true,true,false,true,353.43,7,-7.5740867,112.28609,09/14/2022,12/08/2022
94,5,3,5,mansion,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,88961 Prairie Rose Crossing,false,false,false,false,true,249.95,9,9.0667013,-79.3873743,09/11/2022,11/10/2022
95,1,4,3,condo,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",7294 Green Ridge Court,false,false,false,false,true,181.26,2,34.198019,108.879265,09/14/2022,12/23/2022
96,5,5,2,mansion,Vivamus tortor. Duis mattis egestas metus.,94 Tennessee Place,false,true,true,false,false,530.77,8,-6.3145542,107.1032236,09/01/2022,12/11/2022
97,2,1,3,hotel,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",945 Spohn Road,true,true,false,true,false,520.18,6,28.5417016,-81.2408689,09/19/2022,11/27/2022
98,3,2,3,cabin,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,6386 Moland Place,false,false,true,false,false,905.65,7,18.4329473,-77.1973997,09/09/2022,11/18/2022
99,3,4,1,rv,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1665 Fuller Pass,false,false,false,false,false,540.41,5,39.2166313,77.6012162,09/12/2022,12/16/2022
100,5,1,5,condo,In hac habitasse platea dictumst.,6009 Ridgeview Way,true,true,true,true,true,499.69,1,47.6258589,-1.8700485,09/22/2022,12/11/2022
101,5,3,1,condo,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1186 David Park,false,true,true,true,true,984.5,4,22.332599,-80.2711588,09/17/2022,11/09/2022
102,5,4,5,mansion,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",533 Bunting Terrace,false,true,true,true,true,526.64,3,-7.8808775,-40.0810267,09/16/2022,12/21/2022
103,1,5,5,condo,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,910 Fremont Park,false,false,true,true,true,476.11,5,-6.2167736,106.5230542,09/16/2022,11/01/2022
104,1,3,1,shared,Nulla tellus. In sagittis dui vel nisl.,7022 Melby Street,true,false,false,false,true,374.93,3,10.6936663,122.5655726,09/20/2022,10/07/2022
105,5,4,1,hotel,Curabitur at ipsum ac tellus semper interdum.,850 Vernon Center,true,false,false,false,true,861.71,3,43.7876733,18.1512379,09/14/2022,12/22/2022
106,5,2,2,shared,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,8 Crownhardt Crossing,false,false,false,true,false,537.46,10,-3.966667,-80.8833329,09/13/2022,11/21/2022
107,5,2,1,apartment,Ut at dolor quis odio consequat varius. Integer ac leo.,72713 Summer Ridge Point,true,false,false,true,true,384.11,5,55.7279446,93.768409,09/05/2022,10/17/2022
108,3,5,5,rv,Praesent blandit.,6 La Follette Crossing,true,false,false,false,false,872.32,1,-25.692754,29.4306557,09/21/2022,10/21/2022
109,1,5,5,mansion,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4494 Oak Valley Parkway,true,true,false,false,true,776.93,10,30.4752269,106.641749,09/14/2022,11/11/2022
110,4,4,4,condo,Donec dapibus. Duis at velit eu est congue elementum.,893 International Center,true,true,false,false,false,916.96,4,51.27304,16.3653,09/16/2022,11/19/2022
111,2,4,2,rv,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,65070 Huxley Terrace,false,true,true,true,false,59.67,9,-6.8544539,106.5230542,09/19/2022,10/09/2022
112,3,5,2,mansion,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",37 Emmet Place,true,true,true,true,true,76.65,1,3.5399846,39.0528407,09/15/2022,11/07/2022
113,3,3,5,apartment,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",082 Ridge Oak Alley,true,false,false,false,false,998.33,8,39.306292,-7.6444333,09/08/2022,11/26/2022
114,3,2,2,rv,Nulla ut erat id mauris vulputate elementum. Nullam varius.,2 Park Meadow Parkway,false,false,false,true,false,24.37,1,10.465258,16.7337841,09/02/2022,11/15/2022
115,2,5,3,rv,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",057 Chinook Center,false,true,true,false,false,494.36,10,59.262542,17.978333,09/21/2022,11/25/2022
116,2,4,5,rv,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",8 Northland Hill,true,true,true,true,false,641.2,4,13.6192978,44.3668052,09/05/2022,10/22/2022
117,5,3,2,shared,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4875 Mallard Road,false,false,true,false,false,480.45,5,55.6842625,37.8548295,09/15/2022,10/15/2022
118,1,3,4,shared,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",3 Mendota Circle,false,false,false,false,true,427.26,10,50.5888258,16.8098022,09/02/2022,10/21/2022
119,1,5,2,mansion,Etiam justo. Etiam pretium iaculis justo.,7322 Orin Park,true,false,true,false,true,605.8,3,8.3976116,14.1727518,09/19/2022,10/10/2022
120,4,4,1,rv,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",67 Walton Lane,true,false,true,true,false,445.62,2,-2.430223,114.8804853,09/14/2022,12/02/2022
121,4,2,2,shared,Vestibulum sed magna at nunc commodo placerat.,5039 Norway Maple Center,true,false,false,false,false,492.31,8,-7.347756,108.8818859,09/22/2022,10/19/2022
122,5,1,2,apartment,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1058 Marquette Park,true,false,false,false,true,332.6,3,51.7318422,18.2051618,09/01/2022,12/05/2022
123,4,4,4,apartment,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,0 Ridge Oak Crossing,false,false,true,true,false,450.54,9,49.444308,19.9504449,09/05/2022,11/07/2022
124,3,3,5,shared,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",68345 Redwing Lane,true,false,true,false,false,762.1,9,54.1349846,38.1596549,09/09/2022,11/01/2022
125,5,5,1,cabin,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,22 Warrior Alley,false,false,false,false,true,410.15,8,41.1588991,-8.0638522,09/13/2022,10/20/2022
126,4,5,1,shared,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",8501 Clove Plaza,true,true,true,false,false,885.57,6,8.157787,-77.6918093,09/20/2022,10/18/2022
127,3,1,2,condo,Vivamus vel nulla eget eros elementum pellentesque.,03441 Mandrake Street,false,false,true,false,false,420.98,1,22.948016,113.366904,09/07/2022,10/12/2022
128,4,5,5,condo,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",4 Elmside Pass,false,false,false,true,true,29.37,7,44.4249036,105.3215372,09/16/2022,12/14/2022
129,3,1,5,mansion,Quisque id justo sit amet sapien dignissim vestibulum.,26170 Cordelia Trail,true,true,false,true,false,786.67,3,25.416658,115.935862,09/07/2022,10/11/2022
130,2,5,2,hotel,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",946 Hudson Place,false,true,false,false,true,173.66,7,30.939169,100.311368,09/11/2022,10/16/2022
131,1,1,1,condo,Ut at dolor quis odio consequat varius. Integer ac leo.,54 Oakridge Lane,true,false,true,true,true,130.37,3,56.1073342,69.6003357,09/01/2022,11/06/2022
132,2,5,2,cabin,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",2 Summer Ridge Road,false,true,true,true,true,360.35,3,35.422892,103.352654,09/20/2022,11/04/2022
133,5,2,3,shared,Maecenas ut massa quis augue luctus tincidunt.,9155 Northridge Center,true,true,false,false,false,314.63,3,-10.082036,124.458641,09/09/2022,11/08/2022
134,2,4,4,rv,Pellentesque at nulla.,4557 Holy Cross Point,true,true,false,true,false,892.77,3,47.1263592,28.8905763,09/12/2022,10/05/2022
